ticker,cik,company_name,ipo_date,sector,industry,sec_sect,sec_ind,state_incorp
AAXN,1069183,AXON ENTERPRISE  INC.,n/a,Capital Goods,Ordnance And Accessories, ORDNANCE & ACCESSORIES_ (NO VEHICLES/GUIDED MISSILES), ORDNANCE & ACCESSORIES_ (NO VEHICLES/GUIDED MISSILES),DE
ABBV,1551152,AbbVie Inc.,2012,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ABC,1140859,AMERISOURCEBERGEN CORP,n/a,Health Care,Other Pharmaceuticals, WHOLESALE,DRUGS PROPRIETARIES & DRUGGISTS' SUNDRIES,DE
ABCB,351569,Ameris Bancorp,1994,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,GA
ABEO,318306,ABEONA THERAPEUTICS INC.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ABG,1144980,ASBURY AUTOMOTIVE GROUP INC,2002,Consumer Durables,Automotive Aftermarket, RETAIL,AUTO DEALERS & GASOLINE STATIONS,DE
ABM,771497,ABM INDUSTRIES INC /DE/,n/a,Finance,Diversified Commercial Services, SERVICES,TO DWELLINGS & OTHER BUILDINGS,DE
ABMD,815094,ABIOMED INC,n/a,Health Care,Medical/Dental Instruments, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS, SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,DE
ABR,1253986,ARBOR REALTY TRUST INC,2004,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
ABT,1800,ABBOTT LABORATORIES,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,IL
ABTX,1642081,Allegiance Bancshares  Inc.,2015,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,TX
AC,1642122,Associated Capital Group  Inc.,2015,Finance,Investment Bankers/Brokers/Service, SECURITY BROKERS_ DEALERS & FLOTATION COMPANIES, SECURITY BROKERS_ DEALERS & FLOTATION COMPANIES,DE
ACA,1739445,Arcosa  Inc.,2018,Capital Goods,Industrial Machinery/Components, FARM MACHINERY & EQUIPMENT, FARM MACHINERY & EQUIPMENT,DE
ACAD,1070494,ACADIA PHARMACEUTICALS INC,1985,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ACBI,1461755,Atlantic Capital Bancshares  Inc.,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,GA
ACC,1283630,AMERICAN CAMPUS COMMUNITIES INC,2004,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
ACCO,712034,ACCO BRANDS Corp,n/a,Consumer Durables,Publishing, BLANKBOOKS_ LOOSELEAF BINDERS & BOOKBINDING & RELATED WORK, BLANKBOOKS_ LOOSELEAF BINDERS & BOOKBINDING & RELATED WORK,DE
ACER,1069308,Acer Therapeutics Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ACGL,947484,ARCH CAPITAL GROUP LTD.,n/a,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,nan
ACHC,1520697,Acadia Healthcare Company  Inc.,n/a,Health Care,Medical Specialities, SERVICES,SPECIALTY OUTPATIENT FACILITIES_ NEC,DE
ACHN,1070336,ACHILLION PHARMACEUTICALS INC,2006,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ACHV,949858,ACHIEVE LIFE SCIENCES  INC.,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances, IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES, IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,DE
ACIA,1651235,Acacia Communications  Inc.,2016,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,DE
ACIW,935036,ACI WORLDWIDE  INC.,n/a,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
ACLS,1113232,AXCELIS TECHNOLOGIES INC,2000,Technology,Industrial Machinery/Components, SPECIAL INDUSTRY MACHINERY_ NEC, SPECIAL INDUSTRY MACHINERY_ NEC,DE
ACM,868857,AECOM,2007,Consumer Services,Military/Government/Technical, SERVICES,ENGINEERING SERVICES,DE
ACMR,1680062,ACM Research  Inc.,2017,Technology,Industrial Machinery/Components, SPECIAL INDUSTRY MACHINERY_ NEC, SPECIAL INDUSTRY MACHINERY_ NEC,CA
ACN,1467373,Accenture plc,2001,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,L2
ACNB,715579,ACNB CORP,n/a,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,PA
ACOR,1008848,ACORDA THERAPEUTICS INC,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),nan
ACRE,1529377,Ares Commercial Real Estate Corp,2012,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
ACRS,1557746,Aclaris Therapeutics  Inc.,2015,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ACRX,1427925,ACELRX PHARMACEUTICALS INC,2011,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ACTG,934549,ACACIA RESEARCH CORP,n/a,Miscellaneous,Multi-Sector Companies, PATENT OWNERS & LESSORS, PATENT OWNERS & LESSORS,DE
ACU,2098,ACME UNITED CORP,1988,Capital Goods,Industrial Machinery/Components, CUTLERY_ HANDTOOLS & GENERAL HARDWARE, CUTLERY_ HANDTOOLS & GENERAL HARDWARE,CT
ACY,1036848,AEROCENTURY CORP,n/a,Technology,Diversified Commercial Services, SERVICES,EQUIPMENT RENTAL & LEASING_ NEC,DE
ADBE,796343,ADOBE INC.,1986,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
ADC,917251,AGREE REALTY CORP,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,DE
ADES,1515156,Advanced Emissions Solutions  Inc.,n/a,Basic Industries,Major Chemicals, MISCELLANEOUS CHEMICAL PRODUCTS, MISCELLANEOUS CHEMICAL PRODUCTS,nan
ADI,6281,ANALOG DEVICES INC,n/a,Technology,Semiconductors, SEMICONDUCTORS & RELATED DEVICES, SEMICONDUCTORS & RELATED DEVICES,MA
ADIL,1513525,ADIAL PHARMACEUTICALS  INC.,2018,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ADM,7084,Archer-Daniels-Midland Co,n/a,Consumer Non-Durables,Packaged Foods, FATS & OILS, FATS & OILS,DE
ADMA,1368514,ADMA BIOLOGICS  INC.,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
ADMP,887247,Adamis Pharmaceuticals Corp,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ADMS,1328143,Adamas Pharmaceuticals Inc,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ADP,8670,AUTOMATIC DATA PROCESSING INC,n/a,Technology,EDP Services, SERVICES,COMPUTER PROCESSING & DATA PREPARATION,DE
ADRO,1435049,ADURO BIOTECH  INC.,2015,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ADS,1101215,ALLIANCE DATA SYSTEMS CORP,2001,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,DE
ADSK,769397,AUTODESK INC,n/a,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
ADSW,1585790,Advanced Disposal Services  Inc.,2016,Public Utilities,Environmental Services, REFUSE SYSTEMS, REFUSE SYSTEMS,DE
ADT,1703056,ADT Inc.,2018,Consumer Services,Diversified Commercial Services, SERVICES,DETECTIVE_ GUARD & ARMORED CAR SERVICES,DE
ADTN,926282,ADTRAN INC,1994,Public Utilities,Telecommunications Equipment, TELEPHONE & TELEGRAPH APPARATUS, TELEPHONE & TELEGRAPH APPARATUS,DE
ADUS,1468328,Addus HomeCare Corp,2009,Health Care,Medical/Nursing Services, SERVICES,HOME HEALTH CARE SERVICES,DE
ADVM,1501756,Adverum Biotechnologies  Inc.,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
ADXS,1100397,Advaxis  Inc.,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AE,2178,ADAMS RESOURCES & ENERGY  INC.,n/a,Energy,Oil Refining/Marketing, WHOLESALE,PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),DE
AEE,1002910,AMEREN CORP,n/a,Public Utilities,Power Generation, ELECTRIC & OTHER SERVICES COMBINED, ELECTRIC & OTHER SERVICES COMBINED,MO
AEGN,353020,Aegion Corp,n/a,Basic Industries,Water Supply, WATER_ SEWER_ PIPELINE_ COMM AND POWER LINE CONSTRUCTION, WATER_ SEWER_ PIPELINE_ COMM AND POWER LINE CONSTRUCTION,DE
AEHR,1040470,AEHR TEST SYSTEMS,1997,Capital Goods,Electrical Products, INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS, INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,CA
AEIS,927003,ADVANCED ENERGY INDUSTRIES INC,1995,Capital Goods,Industrial Machinery/Components, ELECTRONIC COMPONENTS_ NEC, ELECTRONIC COMPONENTS_ NEC,DE
AEL,1039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,2003,Finance,Life Insurance, LIFE INSURANCE, LIFE INSURANCE,IA
AEMD,882291,AETHLON MEDICAL INC,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments, LABORATORY ANALYTICAL INSTRUMENTS, LABORATORY ANALYTICAL INSTRUMENTS,NV
AEO,919012,AMERICAN EAGLE OUTFITTERS INC,n/a,Consumer Services,Clothing/Shoe/Accessory Stores, RETAIL,FAMILY CLOTHING STORES,DE
AEP,4904,AMERICAN ELECTRIC POWER CO INC,n/a,Public Utilities,Electric Utilities: Central, ELECTRIC SERVICES, ELECTRIC SERVICES,NY
AERI,1337553,AERIE PHARMACEUTICALS INC,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
AES,874761,AES CORP,n/a,Basic Industries,Electric Utilities: Central, COGENERATION SERVICES & SMALL POWER PRODUCERS, COGENERATION SERVICES & SMALL POWER PRODUCERS,DE
AEY,874292,ADDVANTAGE TECHNOLOGIES GROUP INC,n/a,Consumer Services,Office Equipment/Supplies/Services, WHOLESALE,DURABLE GOODS,OK
AFG,1042046,AMERICAN FINANCIAL GROUP INC,n/a,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,OH
AFH,1539894,Atlas Financial Holdings  Inc.,2013,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,E9
AFI,1655075,Armstrong Flooring  Inc.,2016,Consumer Non-Durables,Plastic Products, PLASTICS PRODUCTS_ NEC, PLASTICS PRODUCTS_ NEC,PA
AFIN,1568162,American Finance Trust  Inc,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AFL,4977,AFLAC INC,n/a,Finance,Accident &Health Insurance, ACCIDENT & HEALTH INSURANCE, ACCIDENT & HEALTH INSURANCE,GA
AGCO,880266,AGCO CORP /DE,n/a,Capital Goods,Industrial Machinery/Components, FARM MACHINERY & EQUIPMENT, FARM MACHINERY & EQUIPMENT,DE
AGE,1708599,AgeX Therapeutics  Inc.,2018,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AGEN,1098972,AGENUS INC,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
AGFS,1592016,AgroFresh Solutions  Inc.,2014,Finance,Business Services, BLANK CHECKS, BLANK CHECKS,DE
AGIO,1439222,AGIOS PHARMACEUTICALS INC,2013,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AGLE,1636282,Aeglea BioTherapeutics  Inc.,2016,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AGM,845877,FEDERAL AGRICULTURAL MORTGAGE CORP,n/a,Finance,Finance Companies, FEDERAL & FEDERALLY,SPONSORED CREDIT AGENCIES,nan
AGN,1578845,Allergan plc,2013,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,L2
AGNC,1423689,AGNC Investment Corp.,2008,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,nan
AGO,1273813,ASSURED GUARANTY LTD,2004,Finance,Property-Casualty Insurers, SURETY INSURANCE, SURETY INSURANCE,D0
AGR,1634997,Avangrid  Inc.,2015,Public Utilities,Electric Utilities: Central, ELECTRIC SERVICES, ELECTRIC SERVICES,nan
AGRX,1261249,AGILE THERAPEUTICS INC,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AGS,1593548,PlayAGS  Inc.,2018,Consumer Durables,Miscellaneous manufacturing industries, MISCELLANEOUS MANUFACTURING INDUSTRIES, MISCELLANEOUS MANUFACTURING INDUSTRIES,NV
AGTC,1273636,APPLIED GENETIC TECHNOLOGIES CORP,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
AGX,100591,ARGAN INC,n/a,Basic Industries,Engineering & Construction, CONSTRUCTION SPECIAL TRADE CONTRACTORS, CONSTRUCTION SPECIAL TRADE CONTRACTORS,DE
AGYS,78749,AGILYSYS INC,n/a,Technology,EDP Services, SERVICES,COMPUTER INTEGRATED SYSTEMS DESIGN,OH
AHC,1413898,A. H. Belo Corp,n/a,Consumer Services,Newspapers/Magazines, NEWSPAPERS:  PUBLISHING OR PUBLISHING & PRINTING, NEWSPAPERS:  PUBLISHING OR PUBLISHING & PRINTING,TX
AHH,1569187,Armada Hoffler Properties  Inc.,2013,Finance,Real Estate, REAL ESTATE, REAL ESTATE,MD
AHT,1232582,ASHFORD HOSPITALITY TRUST INC,2003,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AI,1209028,Arlington Asset Investment Corp.,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,VA
AIG,5272,AMERICAN INTERNATIONAL GROUP INC,n/a,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,DE
AIMC,1374535,Altra Industrial Motion Corp.,2006,Capital Goods,Industrial Machinery/Components, GENERAL INDUSTRIAL MACHINERY & EQUIPMENT_ NEC, GENERAL INDUSTRIAL MACHINERY & EQUIPMENT_ NEC,DE
AIMT,1631650,Aimmune Therapeutics  Inc.,2015,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AIN,819793,ALBANY INTERNATIONAL CORP /DE/,n/a,Basic Industries,Textiles, BROADWOVEN FABRIC MILS_ MAN MADE FIBER & SILK, BROADWOVEN FABRIC MILS_ MAN MADE FIBER & SILK,DE
AINC,1604738,Ashford Inc.,2014,Consumer Services,Professional Services, SERVICES,MANAGEMENT CONSULTING SERVICES,TX
AIR,1750,AAR CORP,n/a,Capital Goods,Aerospace, AIRCRAFT & PARTS, AIRCRAFT & PARTS,DE
AIRG,1272842,AIRGAIN INC,2016,Technology,Radio And Television Broadcasting And Communications Equipment, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT, RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,nan
AIRT,353184,AIR T INC,n/a,Transportation,Air Freight/Delivery Services, AIR COURIER SERVICES, AIR COURIER SERVICES,DE
AIT,109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,n/a,Consumer Durables,Industrial Specialties, WHOLESALE,MACHINERY_ EQUIPMENT & SUPPLIES,OH
AIV,922864,APARTMENT INVESTMENT & MANAGEMENT CO,1994,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AIZ,1267238,ASSURANT INC,2004,Finance,Accident &Health Insurance, ACCIDENT & HEALTH INSURANCE, ACCIDENT & HEALTH INSURANCE,DE
AJG,354190,GALLAGHER ARTHUR J & CO,n/a,Finance,Specialty Insurers, INSURANCE AGENTS BROKERS & SERVICES, INSURANCE AGENTS BROKERS & SERVICES,DE
AJRD,40888,AEROJET ROCKETDYNE HOLDINGS  INC.,n/a,Capital Goods,Military/Government/Technical, GUIDED MISSILES & SPACE VEHICLES & PARTS, GUIDED MISSILES & SPACE VEHICLES & PARTS,DE
AJX,1614806,Great Ajax Corp.,2015,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AKAM,1086222,AKAMAI TECHNOLOGIES INC,1999,Miscellaneous,Business Services, SERVICES,BUSINESS SERVICES_ NEC,DE
AKBA,1517022,Akebia Therapeutics  Inc.,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AKCA,1662524,AKCEA THERAPEUTICS  INC.,2017,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
AKER,1321834,Akers Biosciences  Inc.,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances, IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES, IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,NJ
AKR,899629,ACADIA REALTY TRUST,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,MD
AKRX,3116,AKORN INC,n/a,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,LA
AKS,918160,AK STEEL HOLDING CORP,n/a,Basic Industries,Steel/Iron Ore, STEEL WORKS_ BLAST FURNACES  ROLLING MILLS (COKE OVENS), STEEL WORKS_ BLAST FURNACES  ROLLING MILLS (COKE OVENS),DE
AL,1487712,AIR LEASE CORP,2011,Technology,Diversified Commercial Services, SERVICES,EQUIPMENT RENTAL & LEASING_ NEC,DE
ALB,915913,ALBEMARLE CORP,n/a,Basic Industries,Major Chemicals, PLASTICS_ MATERIALS_ SYNTH RESINS & NONVULCAN ELASTOMERS, PLASTICS_ MATERIALS_ SYNTH RESINS & NONVULCAN ELASTOMERS,VA
ALCO,3545,ALICO INC,n/a,Consumer Non-Durables,Farming/Seeds/Milling, AGRICULTURE PRODUCTION , CROPS,FL
ALDR,1423824,ALDER BIOPHARMACEUTICALS INC,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ALDX,1341235,Aldeyra Therapeutics  Inc.,2014,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ALE,66756,ALLETE INC,n/a,Public Utilities,Power Generation, ELECTRIC & OTHER SERVICES COMBINED, ELECTRIC & OTHER SERVICES COMBINED,MN
ALEC,1653087,Alector  Inc.,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
ALEX,1545654,Alexander & Baldwin  Inc.,n/a,Consumer Services,Real Estate Investment Trusts, REAL ESTATE INVESTMENT TRUSTS, REAL ESTATE INVESTMENT TRUSTS,HI
ALG,897077,ALAMO GROUP INC,n/a,Capital Goods,Industrial Machinery/Components, FARM MACHINERY & EQUIPMENT, FARM MACHINERY & EQUIPMENT,DE
ALGN,1097149,ALIGN TECHNOLOGY INC,2001,Health Care,Industrial Specialties, ORTHOPEDIC_ PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES, ORTHOPEDIC_ PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES,DE
ALGT,1362468,Allegiant Travel CO,2006,Transportation,Air Freight/Delivery Services, AIR TRANSPORTATION_ SCHEDULED, AIR TRANSPORTATION_ SCHEDULED,NV
ALIM,1267602,ALIMERA SCIENCES INC,2010,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
ALJJ,1103926,YOUTHSTREAM MEDIA NETWORKS INC,n/a,Miscellaneous,Business Services, SERVICES,ADVERTISING,DE
ALK,766421,ALASKA AIR GROUP  INC.,n/a,Transportation,Air Freight/Delivery Services, AIR TRANSPORTATION_ SCHEDULED, AIR TRANSPORTATION_ SCHEDULED,DE
ALKS,1520262,Alkermes plc.,1991,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
ALL,899051,ALLSTATE CORP,n/a,Finance,Property-Casualty Insurers, FIRE_ MARINE & CASUALTY INSURANCE, FIRE_ MARINE & CASUALTY INSURANCE,DE
ALLE,1579241,Allegion plc,2013,Consumer Services,Diversified Commercial Services, SERVICES,DETECTIVE_ GUARD & ARMORED CAR SERVICES,L2
ALLK,1564824,Allakos Inc.,2018,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ALLO,1737287,Allogene Therapeutics  Inc.,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),nan
ALLY,40729,Ally Financial Inc.,2014,Finance,Major Banks, STATE COMMERCIAL BANKS, STATE COMMERCIAL BANKS,DE
ALNA,1624658,Allena Pharmaceuticals  Inc.,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES), BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES),DE
ALNY,1178670,ALNYLAM PHARMACEUTICALS  INC.,2004,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,nan
ALOT,8146,AstroNova  Inc.,1983,Technology,Computer peripheral equipment, COMPUTER PERIPHERAL EQUIPMENT_ NEC, COMPUTER PERIPHERAL EQUIPMENT_ NEC,RI
ALPN,1626199,ALPINE IMMUNE SCIENCES  INC.,2015,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ALRM,1459200,Alarm.com Holdings  Inc.,2015,Technology,Computer Software: Prepackaged Software, SERVICES,PREPACKAGED SOFTWARE,DE
ALRN,1420565,AILERON THERAPEUTICS INC,2017,Health Care,Major Pharmaceuticals, PHARMACEUTICAL PREPARATIONS, PHARMACEUTICAL PREPARATIONS,DE
ALSK,1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,1999,Public Utilities,Telecommunications Equipment, TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE), TELEPHONE COMMUNICATIONS (NO RADIO TELEPHONE),DE
ALSN,1411207,Allison Transmission Holdings Inc,2012,Capital Goods,Auto Parts:O.E.M., MOTOR VEHICLE PARTS & ACCESSORIES, MOTOR VEHICLE PARTS & ACCESSORIES,DE
